iter	Passed	Remaining
0	157	157290
1	158	78980
2	162	54016
3	163	40752
4	164	32760
5	165	27441
6	166	23596
7	167	20720
8	167	18471
9	168	16668
10	169	15194
11	169	13962
12	170	12938
13	171	12067
14	172	11312
15	172	10636
16	173	10038
17	174	9504
18	174	9026
19	175	8593
20	175	8201
21	176	7847
22	177	7529
23	177	7237
24	178	6964
25	179	6710
26	179	6475
27	180	6256
28	180	6052
29	181	5862
30	181	5683
31	182	5516
32	183	5364
33	183	5227
34	184	5090
35	185	4959
36	185	4835
37	186	4718
38	187	4608
39	187	4501
40	188	4399
41	188	4303
42	189	4212
43	189	4127
44	190	4044
45	191	3963
46	191	3886
47	192	3812
48	192	3741
49	193	3672
50	193	3606
51	194	3542
52	194	3481
53	195	3422
54	195	3367
55	196	3314
56	197	3262
57	197	3211
58	198	3162
59	198	3114
60	199	3068
61	199	3023
62	200	2980
63	200	2938
64	201	2900
65	202	2863
66	203	2829
67	203	2792
68	204	2756
69	204	2721
70	205	2686
71	205	2653
72	206	2620
73	206	2589
74	207	2558
75	207	2528
76	212	2548
77	213	2524
78	214	2497
79	214	2470
80	215	2445
81	216	2419
82	216	2390
83	216	2365
84	217	2342
85	218	2318
86	218	2294
87	219	2272
88	219	2250
89	220	2228
90	220	2206
91	221	2186
92	222	2166
93	222	2145
94	223	2126
95	223	2106
96	224	2087
97	224	2068
98	225	2050
99	225	2032
100	226	2015
101	226	1997
102	231	2015
103	232	2001
104	233	1986
105	233	1969
106	234	1955
107	235	1946
108	236	1931
109	237	1917
110	237	1903
111	238	1888
112	238	1874
113	239	1860
114	240	1846
115	240	1833
116	241	1819
117	241	1806
118	242	1793
119	242	1780
120	243	1767
121	243	1753
122	244	1741
123	244	1729
124	245	1717
125	245	1705
126	246	1694
127	247	1683
128	247	1671
129	248	1660
130	248	1649
131	249	1638
132	249	1628
133	250	1617
134	250	1607
135	251	1597
136	251	1587
137	255	1595
138	258	1599
139	259	1592
140	259	1583
141	260	1572
142	260	1564
143	261	1554
144	262	1545
145	262	1536
146	263	1528
147	263	1519
148	264	1511
149	265	1502
150	265	1493
151	266	1485
152	266	1476
153	267	1468
154	267	1460
155	268	1451
156	268	1443
157	269	1436
158	270	1428
159	270	1420
160	270	1412
161	271	1404
162	272	1397
163	272	1389
164	273	1382
165	273	1375
166	274	1368
167	274	1360
168	275	1353
169	276	1349
170	276	1342
171	277	1335
172	278	1329
173	278	1322
174	279	1316
175	279	1309
176	280	1303
177	280	1296
178	281	1290
179	281	1284
180	282	1278
181	283	1272
182	283	1266
183	284	1261
184	285	1255
185	285	1249
186	286	1243
187	286	1237
188	287	1231
189	287	1226
190	288	1221
191	288	1215
192	289	1210
193	290	1205
194	290	1199
195	291	1194
196	291	1189
197	292	1183
198	292	1178
199	293	1173
200	293	1167
201	294	1163
202	295	1158
203	295	1153
204	296	1149
205	296	1144
206	297	1139
207	298	1134
208	298	1130
209	299	1125
210	299	1120
211	300	1115
212	301	1113
213	301	1108
214	302	1105
215	303	1101
216	304	1097
217	304	1092
218	305	1088
219	305	1083
220	306	1079
221	306	1075
222	307	1071
223	308	1067
224	308	1063
225	309	1061
226	310	1058
227	311	1054
228	311	1050
229	312	1046
230	313	1042
231	313	1038
232	314	1035
233	314	1031
234	315	1027
235	316	1023
236	316	1019
237	317	1015
238	317	1012
239	318	1008
240	318	1004
241	319	1001
242	320	997
243	320	993
244	321	990
245	322	986
246	322	983
247	323	979
248	323	976
249	324	972
250	324	969
251	325	965
252	329	973
253	330	970
254	331	967
255	332	964
256	332	962
257	333	958
258	333	955
259	334	952
260	335	948
261	335	945
262	336	942
263	336	938
264	337	935
265	337	932
266	338	929
267	339	926
268	339	922
269	340	919
270	340	917
271	341	914
272	342	910
273	342	907
274	343	904
275	343	901
276	344	899
277	345	896
278	345	893
279	346	890
280	346	887
281	347	884
282	347	881
283	348	878
284	349	875
285	349	872
286	350	870
287	353	873
288	354	871
289	354	868
290	355	865
291	355	862
292	356	859
293	357	857
294	357	855
295	358	852
296	359	849
297	359	847
298	360	844
299	360	841
300	361	839
301	361	836
302	362	834
303	363	831
304	363	829
305	364	826
306	364	823
307	365	821
308	366	818
309	366	816
310	367	813
311	367	810
312	368	808
313	369	806
314	369	804
315	370	801
316	370	799
317	371	796
318	372	794
319	372	791
320	373	789
321	373	786
322	374	784
323	374	782
324	376	781
325	376	779
326	377	776
327	378	774
328	378	772
329	379	770
330	380	768
331	380	766
332	381	764
333	382	763
334	383	761
335	384	759
336	384	757
337	385	755
338	386	752
339	386	750
340	387	748
341	388	747
342	389	745
343	389	743
344	390	741
345	391	739
346	391	736
347	392	734
348	392	732
349	393	730
350	393	728
351	396	729
352	396	727
353	397	725
354	398	723
355	398	721
356	399	719
357	399	717
358	400	715
359	401	713
360	402	711
361	402	709
362	403	707
363	403	705
364	404	703
365	405	701
366	405	699
367	406	697
368	407	696
369	407	694
370	408	692
371	408	690
372	409	688
373	410	686
374	410	684
375	411	682
376	411	680
377	412	678
378	413	676
379	413	675
380	414	673
381	414	671
382	415	669
383	416	667
384	416	665
385	417	663
386	417	661
387	418	659
388	419	658
389	421	658
390	421	657
391	422	655
392	423	653
393	423	651
394	424	649
395	424	647
396	425	646
397	426	645
398	427	643
399	427	641
400	428	640
401	429	638
402	429	636
403	430	634
404	430	632
405	431	630
406	431	629
407	432	627
408	433	625
409	433	624
410	434	622
411	434	620
412	435	619
413	436	617
414	436	615
415	437	613
416	437	612
417	438	610
418	439	608
419	439	607
420	440	605
421	440	603
422	441	601
423	441	600
424	442	598
425	442	596
426	443	594
427	447	597
428	447	596
429	448	594
430	448	592
431	449	590
432	449	589
433	450	587
434	451	586
435	452	585
436	453	583
437	453	582
438	454	580
439	454	578
440	455	577
441	455	575
442	456	573
443	457	572
444	457	570
445	458	569
446	458	567
447	459	565
448	459	564
449	460	562
450	460	560
451	461	559
452	461	557
453	462	556
454	463	554
455	463	553
456	464	551
457	464	549
458	465	548
459	465	546
460	466	545
461	466	543
462	467	541
463	467	540
464	468	538
465	469	537
466	469	536
467	470	534
468	471	533
469	471	531
470	472	530
471	472	528
472	473	527
473	473	525
474	474	524
475	474	522
476	475	521
477	476	519
478	476	518
479	477	516
480	477	515
481	478	513
482	478	512
483	479	511
484	479	509
485	480	508
486	480	506
487	481	505
488	482	503
489	482	502
490	483	501
491	483	499
492	484	498
493	484	496
494	485	495
495	485	493
496	486	492
497	486	490
498	487	489
499	487	487
500	488	486
501	489	485
502	489	483
503	489	482
504	490	480
505	490	479
506	491	477
507	491	476
508	492	475
509	493	473
510	493	472
511	494	471
512	495	470
513	496	469
514	496	467
515	497	466
516	497	465
517	498	463
518	498	462
519	499	461
520	500	459
521	500	458
522	501	457
523	501	455
524	502	454
525	502	453
526	503	451
527	503	450
528	504	449
529	504	447
530	505	446
531	505	445
532	506	443
533	507	442
534	507	441
535	508	440
536	508	438
537	509	437
538	509	436
539	510	434
540	511	433
541	511	432
542	512	431
543	512	429
544	513	428
545	513	427
546	514	426
547	514	424
548	515	423
549	515	422
550	516	420
551	517	419
552	517	418
553	518	417
554	518	415
555	523	417
556	523	416
557	524	415
558	524	414
559	525	412
560	526	411
561	526	410
562	527	409
563	527	407
564	528	406
565	528	405
566	529	404
567	529	402
568	530	401
569	530	400
570	531	399
571	532	398
572	532	396
573	533	395
574	533	394
575	534	393
576	534	392
577	535	390
578	535	389
579	536	388
580	536	387
581	537	385
582	538	384
583	538	383
584	539	382
585	539	381
586	540	380
587	540	378
588	541	377
589	541	376
590	542	375
591	542	374
592	543	372
593	545	373
594	546	372
595	547	371
596	547	369
597	548	368
598	549	367
599	549	366
600	550	365
601	551	364
602	551	363
603	552	362
604	552	360
605	553	359
606	553	358
607	554	357
608	554	356
609	555	355
610	555	353
611	556	352
612	556	351
613	557	350
614	558	349
615	558	348
616	559	347
617	559	346
618	560	344
619	560	343
620	561	342
621	561	341
622	562	340
623	563	339
624	563	338
625	564	337
626	564	336
627	565	334
628	565	333
629	566	332
630	567	331
631	567	330
632	568	329
633	569	328
634	569	327
635	570	326
636	571	325
637	571	324
638	572	323
639	572	322
640	573	321
641	574	320
642	574	319
643	575	318
644	576	317
645	577	316
646	577	315
647	578	314
648	578	313
649	579	311
650	579	310
651	580	309
652	581	308
653	581	307
654	582	306
655	583	305
656	583	304
657	584	303
658	584	302
659	585	301
660	585	300
661	586	299
662	586	298
663	587	297
664	590	297
665	591	296
666	591	295
667	592	294
668	593	293
669	593	292
670	594	291
671	594	290
672	595	289
673	596	288
674	597	287
675	598	286
676	598	285
677	599	284
678	599	283
679	600	282
680	601	281
681	601	280
682	602	279
683	602	278
684	603	277
685	603	276
686	604	275
687	605	274
688	605	273
689	606	272
690	607	271
691	607	270
692	608	269
693	608	268
694	609	267
695	610	266
696	610	265
697	611	264
698	611	263
699	615	263
700	617	263
701	618	262
702	619	261
703	619	260
704	620	259
705	621	258
706	621	257
707	622	256
708	623	255
709	623	254
710	624	253
711	625	252
712	625	251
713	626	251
714	627	250
715	628	249
716	628	248
717	629	247
718	629	246
719	630	245
720	631	244
721	631	243
722	632	242
723	633	241
724	633	240
725	634	239
726	634	238
727	635	237
728	636	236
729	636	235
730	646	237
731	647	236
732	648	236
733	648	235
